group_name,path,difference,difficulty
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000001.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000002.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000003.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000004.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000005.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000006.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000007.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000008.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000009.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000010.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000011.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000012.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000013.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000014.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000015.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000016.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000017.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000018.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000019.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000020.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000021.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000022.jpg,Animal species (Dogs vs Cats),easy
